공동주택명,동번호,전용구역위치구분코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,전용주차단위구획수,공동주택관리소전화번호,관할소방서명,관할소방서전화번호,데이터기준일자,제공기관코드,제공기관명
평창리비에르1차 아파트,101,2 ,울산광역시,북구,32100,울산광역시 북구 명촌10길22,울산광역시 북구명촌동895-3,35.55197533,129.3567884,1,052-289-7041,북부소방서,052-229-8132,2021-01-21,6310467,울산광역시 북부소방서
평창리비에르1차 아파트,102,1 ,울산광역시,북구,32100,울산광역시 북구 명촌10길22,울산광역시 북구명촌동895-3,35.55197533,129.3567884,1,052-289-7041,북부소방서,052-229-8132,2021-01-21,6310467,울산광역시 북부소방서
평창리비에르1차 아파트,103,1 ,울산광역시,북구,32100,울산광역시 북구 명촌10길22,울산광역시 북구명촌동895-3,35.55197533,129.3567884,1,052-289-7041,북부소방서,052-229-8132,2021-01-21,6310467,울산광역시 북부소방서
평창리비에르1차 아파트,103,2 ,울산광역시,북구,32100,울산광역시 북구 명촌10길22,울산광역시 북구명촌동895-3,35.55197533,129.3567884,1,052-289-7041,북부소방서,052-229-8132,2021-01-21,6310467,울산광역시 북부소방서
평창리비에르1차 아파트,104,1 ,울산광역시,북구,32100,울산광역시 북구 명촌10길22,울산광역시 북구명촌동895-3,35.55197533,129.3567884,1,052-289-7041,북부소방서,052-229-8132,2021-01-21,6310467,울산광역시 북부소방서
평창리비에르1차 아파트,105,1 ,울산광역시,북구,32100,울산광역시 북구 명촌10길22,울산광역시 북구명촌동895-3,35.55197533,129.3567884,1,052-289-7041,북부소방서,052-229-8132,2021-01-21,6310467,울산광역시 북부소방서
평창리비에르1차 아파트,105,2 ,울산광역시,북구,32100,울산광역시 북구 명촌10길22,울산광역시 북구명촌동895-3,35.55197533,129.3567884,1,052-289-7041,북부소방서,052-229-8132,2021-01-21,6310467,울산광역시 북부소방서
평창리비에르1차 아파트,106,2 ,울산광역시,북구,32100,울산광역시 북구 명촌10길22,울산광역시 북구명촌동895-3,35.55197533,129.3567884,1,052-289-7041,북부소방서,052-229-8132,2021-01-21,6310467,울산광역시 북부소방서
평창리비에르1차 아파트,107,2 ,울산광역시,북구,32100,울산광역시 북구 명촌10길22,울산광역시 북구명촌동895-3,35.55197533,129.3567884,1,052-289-7041,북부소방서,052-229-8132,2021-01-21,6310467,울산광역시 북부소방서
평창리비에르1차 아파트,108,1 ,울산광역시,북구,32100,울산광역시 북구 명촌10길22,울산광역시 북구명촌동895-3,35.55197533,129.3567884,1,052-289-7041,북부소방서,052-229-8132,2021-01-21,6310467,울산광역시 북부소방서
평창리비에르1차 아파트,108,2 ,울산광역시,북구,32100,울산광역시 북구 명촌10길22,울산광역시 북구명촌동895-3,35.55197533,129.3567884,1,052-289-7041,북부소방서,052-229-8132,2021-01-21,6310467,울산광역시 북부소방서
