,시도명,제한속도,CCTV설치여부,CCTV설치대수,보호구역도로폭
0,서울특별시,30,Y,1.0,3.0
1,경상북도,30,N,0.0,6.0
2,경상북도,30,N,0.0,6.0
3,경상북도,30,N,0.0,7.0
4,경상북도,30,N,0.0,7.0
5,경상북도,30,N,0.0,6.0
6,경상북도,30,N,0.0,8.0
7,경상북도,30,N,0.0,7.0
8,경상북도,30,N,0.0,9.0
9,경상북도,30,N,0.0,6.0
10,경상북도,30,N,0.0,6.0
11,경상북도,30,N,0.0,7.0
12,경상북도,30,N,0.0,6.0
13,경상북도,30,N,0.0,6.0
14,경상북도,30,N,0.0,7.0
15,경상북도,30,N,0.0,6.0
16,경상북도,30,N,0.0,6.0
17,경상북도,30,N,0.0,7.0
18,경상북도,30,N,0.0,6.0
19,경상북도,30,N,0.0,6.0
20,경상북도,30,N,0.0,7.0
21,경상북도,30,N,0.0,0.0
22,경상북도,30,N,0.0,0.0
23,경상북도,30,N,0.0,0.0
24,경상북도,30,N,0.0,0.0
25,충청남도,30,N,0.0,0.0
26,충청남도,30,N,0.0,0.0
27,충청남도,30,N,0.0,0.0
28,충청남도,30,N,0.0,0.0
29,경상북도,30,N,0.0,9.0
30,경상북도,30,N,0.0,6.0
31,경상북도,30,N,0.0,7.0
32,경상북도,30,N,0.0,6.0
33,경상북도,30,N,0.0,6.0
34,경상북도,30,N,0.0,8.0
35,경상북도,30,N,0.0,8.0
36,경상북도,30,N,0.0,7.0
37,경상북도,30,N,0.0,8.0
38,경상북도,30,N,0.0,6.0
39,경상북도,30,N,0.0,7.0
40,경상북도,30,N,0.0,7.0
41,경상북도,30,N,0.0,8.0
42,경상북도,30,N,0.0,6.0
43,경상북도,30,N,0.0,6.0
44,경상북도,30,N,0.0,6.0
45,경상북도,30,N,0.0,7.0
46,경상북도,30,N,0.0,7.0
47,경상북도,30,N,0.0,6.0
48,경상북도,30,N,0.0,8.0
49,경상북도,30,N,0.0,7.0
50,경상북도,30,N,0.0,9.0
51,충청남도,30,N,0.0,0.0
